fclty_id|fclty_nm|area_addr|city_do_cd|ctprvn_nm|signgu_cd|signgu_nm|adstrd_cd|adstrd_nm|la|lo
AC32|인천학생교육문화회관|인천광역시 중구 자유공원로 12 (인현동 5) |23|인천광역시|23010|중구|2301058|동인천동|37.47572|126.629677
AC33|아트센터 인천|인천 연수구 아트센터대로 222|23|인천광역시|23040|연수구|2304066|송도1동|37.393981|126.626774
AC34|인천 중구문화회관|인천광역시 중구 축항대로 296번길 81(신흥동 3가 39-24)|23|인천광역시|23010|중구|2301054|신흥동|37.439919|126.629426
AC35|경기도문화의전당|경기도 수원시 팔달구 효원로 307번길 20|31|경기도|31013|수원시 팔달구|3101356|인계동|37.261459|127.03715
AC38|광명시민회관|경기도 광명시 시청로 20, 광명시민회관(철산동)|31|경기도|31060|광명시|3106058|철산1동|37.47804|126.864617
AC39|군포문화예술회관|경기도 군포시 고산로 599|31|경기도|31160|군포시|3116054|산본1동|37.366282|126.927276
AC40|김포아트홀|경기도 김포시 돌문로 26|31|경기도|31230|김포시|3123053|사우동|37.618897|126.72011699999999
AC41|부천시민회관|경기도 부천시 원미구 부일로 365(중동)|31|경기도|31050|부천시|3105089|중동|37.488189|126.770498
AC42|성남아트센터|경기도 성남시 분당구 성남대로 808(야탑동)|31|경기도|31023|성남시 분당구|3102362|야탑1동|37.402781|127.131013
AC43|수원SK아트리움|경기도 수원시 장안구 이목로24-25|31|경기도|31011|수원시 장안구|3101156|정자1동|37.308904|126.98581599999999
AC44|안산문화예술의전당|경기도 안산시 화랑로 312|31|경기도|31092|안산시 단원구|3109274|고잔동|37.320831|126.84388
AC47|오산문화예술회관|경기도 오산시 경기동로 41(오산동)|31|경기도|31140|오산시|3114051|중앙동|37.159357|127.076973
AC48|용인포은아트홀|경기도 용인시 수지구 포은대로 499|31|경기도|31193|용인시 수지구|3119354|죽전1동|37.325745|127.105317
AC49|의정부예술의전당|경기도 의정부시 의정로1|31|경기도|31030|의정부시|3103051|의정부1동|37.733271|127.034375
AC50|하남문화예술회관|경기도 하남시 신평로 125(덕풍동)|31|경기도|31180|하남시|3118054|덕풍1동|37.544522|127.207204
AC53|가평문화예술회관|경기도 가평군 가평읍 문화로 131|31|경기도|31370|가평군|3137011|가평읍|37.824988|127.50599199999999
AC55|남한산성아트홀|경기도 광주시 회안대로 891|31|경기도|31250|광주시|3125052|송정동|37.426774|127.25476
AC57|다산아트홀|경기도 남양주시 다산중앙로7|31|경기도|31130|남양주시|3113058|다산1동|37.613932|127.15555400000001
AC58|동두천시민회관|경기도 동두천시 어수로 4(상패동, 시민회관)|31|경기도|31080|동두천시|3108060|상패동|37.905284|127.043525
AC59|안성맞춤아트홀|경기도 안성시 발화대길21 안성맞춤아트홀|31|경기도|31220|안성시|3122051|안성1동|37.001115999999996|127.27918100000001
AC60|양주문화예술회관|경기도 양주시 광적면 부흥로 618번길 303 |31|경기도|31260|양주시|3126033|광적면|37.812989|126.972168
AC61|세종국악당|경기도 여주시 영릉로 125|31|경기도|31280|여주시|3128052|중앙동|37.297166|127.624932
AC62|연천수레울아트홀|경기도 연천군 연천읍 문화로 150|31|경기도|31350|연천군|3135011|연천읍|38.106148|127.08076299999999
AC63|이천아트홀|경기도 이천시 부악로 40(중리동 490)|31|경기도|31210|이천시|3121052|중리동|37.272223|127.43440700000001
AC64|운정행복센터|경기도 파주시 와석순환로 415|31|경기도|31200|파주시|3120056|운정1동|37.723983000000004|126.751501
AC65|남부문화예술회관|경기도 평택시 중앙로 277|31|경기도|31070|평택시|3107062|비전1동|36.99106|127.114139
AC66|북부문화예술회관|경기도 평택시 경기대로 1366|31|경기도|31070|평택시|3107051|중앙동|37.06654|127.065123
AC67|서부문화예술회관|경기도 평택시 서동대로 1531|31|경기도|31070|평택시|3107012|안중읍|36.985246000000004|127.111589
AC68|포천반월아트홀|경기도 포천시 군내면 청성로 111|31|경기도|31270|포천시|3127031|군내면|37.895749|127.21215
