fclty_nm|tmp_lcls_10s_belo_male_co|tmp_lcls_10s_male_co|tmp_lcls_20s_male_co|tmp_lcls_30s_male_co|tmp_lcls_40s_male_co|tmp_lcls_50s_male_co|tmp_lcls_60s_above_male_co|tmp_lcls_10s_belo_female_co|tmp_lcls_10s_female_co|tmp_lcls_20s_female_co|tmp_lcls_30s_female_co|tmp_lcls_40s_female_co|tmp_lcls_50s_female_co|tmp_lcls_60s_above_female_co|lcls_all_total_co|tmp_otsd_10s_belo_male_co|tmp_otsd_10s_male_co|tmp_otsd_20s_male_co|tmp_otsd_30s_male_co|tmp_otsd_40s_male_co|tmp_otsd_50s_male_co|tmp_otsd_60s_above_male_co|tmp_otsd_10s_belo_female_co|tmp_otsd_10s_female_co|tmp_otsd_20s_female_co|tmp_otsd_30s_female_co|tmp_otsd_40s_female_co|tmp_otsd_50s_female_co|tmp_otsd_60s_above_female_co|otsd_all_total_co|tmp_frnr_all_total_co|area_addr|ctprvn_nm|url
바래길 작은미술관|40|57|35|57|67|103|136|23|14|37|81|103|82|124|959|77|105|196|311|413|236|242|25|147|95|354|329|285|439|3254|40|경남 남해군 남면 남면로1739번길 46-1|경상남도|https://lh3.googleusercontent.com/proxy/HKht4IB9bd99mgY2FDLtmQLIj1ILqD_KPTKm81s5gq871HGqJqDm0PqclI65Wjz9WvrxZg0ZbtlJUr4Ia1P3M57xwCIBGP1-DgLoTHZWWdEsdR4XHtsmHmNWf1T9cVBdfTokSy50iAthOlmm0c2tWQl5q74hpyer3R-aAsuan5JEvy0dmWfdEB5BLRAgDRsPTrEkYFjqILMSHbxtXpZdsyXuG3OxlCPnxG8UbaEE8hXYJVvdh0-ey_e7sIF0ZqjofQb_YzqCtOJdZcW6QZOyx1TVfyXNR4EITy0SwJMQC6n0JFiv8a9j7A
장생포고래로131 작은미술관|38|73|360|364|373|779|430|30|43|91|43|33|53|247|2957|25|75|171|180|525|743|1155|49|41|68|121|154|64|229|3600|53|울산광역시 남구 장생포고래로131|울산|https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/sh0.08/e35/s640x640/104257760_171329961046812_2591355333569021147_n.jpg?_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=100&_nc_ohc=TelGVjHc0jgAX8Xyhdc&oh=fd2ca54813c29bd8799c94a3e32bca78&oe=5FA8A5C2
작은미술관 보구곶|34|181|269|109|136|406|430|44|25|65|130|80|205|122|2236|34|32|192|482|258|304|275|40|32|86|51|46|56|38|1926|35|경기도 김포시 월곶면 문수산로 373|경기도|https://www.google.com/url?sa=i&url=http%3A%2F%2Fm.gimpojn.com%2Fnews%2FarticleView.html%3Fidxno%3D13863&psig=AOvVaw2hmg5AzdltLaA6X5gw_EL1&ust=1604801526613000&source=images&cd=vfe&ved=0CAIQjRxqFwoTCMC739qt7-wCFQAAAAAdAAAAABAD
서동 작은미술관|66|263|863|723|1277|1862|3104|54|388|1218|886|1117|2409|3028|17258|34|121|1038|445|1815|775|2798|75|123|950|294|634|1244|2219|12565|25|부산광역시 금정구 서동로149번길 8(서동) 서동예술창작공간 1층|부산|https://lh3.googleusercontent.com/proxy/cyR_ePDwS9siFJLPaTCxA1IRRreCS4HtaQCa5Wy6riZ-nVawC7m-yCG-_mt474Ad4j79P0vwShDFU4uV0uiKVcfw47WyWv_iXSwR7JLw9MPNOspm-ssT
아트터미널 작은미술관|41|35|26|118|122|874|220|40|41|50|25|29|125|146|1892|22|24|107|22|151|134|122|42|32|36|43|32|36|45|848|37|강원도 정선군 고한읍 지장천로856|강원도|https://img1.daumcdn.net/thumb/R800x0/?scode=mtistory2&fname=https%3A%2F%2Ft1.daumcdn.net%2Fcfile%2Ftistory%2F221EAF46594A473207
악양 작은미술관|32|53|22|73|107|104|476|22|25|31|62|151|169|479|1806|32|38|183|94|67|89|233|37|33|30|90|45|63|67|1101|30|경남 하동군 악양면 악양동로 176 악양생활문화센터|경상남도|https://lh3.googleusercontent.com/proxy/vjXZJ8Itj9K-0Zbut17dQei5FEkQE0BBplVocUmdAi-Gibczs376GqIavZYGqvX8G4izTv87lzwu7nOij1Y__zTpqbWIEzcEdnjLgDnxywUQpYbCS8DTFSpJ
노인과 둔장바다 작은미술관|20|40|25|34|38|95|221|40|30|36|53|30|40|98|800|55|71|22|157|181|121|106|45|39|41|113|54|98|39|1142|53|전라남도 신안군 자은면 둔장길 33-4|전라남도|
기억을 모으는 미술관 ART-TEA|137|195|186|111|380|457|524|71|71|252|155|217|424|170|3350|31|39|22|50|60|38|36|42|42|44|39|69|49|82|643|31|강원도 태백시 장성1길 102-5|강원도|https://lh3.googleusercontent.com/proxy/SCqFD04vKHYUuohZeqcsS9XOnEkyr12PX2JKDgF7rp3NthzoWezSoeV1_HEok-FR33k59XxkRZMXeWyYqjb5Ww4kKXUd1XoC7xSw8Y5YqnVoLchVcaLT
BRT 작은미술관|34|49|108|173|136|176|72|27|90|216|96|62|207|54|1500|34|43|46|44|235|12|38|25|33|82|45|46|58|102|843|19|세종특별자치시 나성동 719 BRT작은미술관|세종|https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMDA4MjFfMjUx%2FMDAxNTk3OTg2Nzg3NDM2.RZl9fLh5e9CbNs-_4KZ1Ip_ulrblhGcJPW8ctTVpMJ4g._rd2JHsrfW-JSWT7pjnwmqo5E_90leCb6j4-PA_eWYAg.JPEG.dbdudxor2307%2F20200821_133603.jpg&type=sc960_832
정라항 그리go 작은미술관 4048|50|138|173|483|589|1107|842|56|49|178|121|378|362|269|4795|147|306|717|655|819|1224|969|32|120|730|349|602|885|1005|8560|48|강원도 삼척시 정라항안길 40-48|강원도|https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxOTEyMTlfMjY1%2FMDAxNTc2NzYxOTczNDgw.Kr2a3VR0m0444lD_3BT6menqUoVNpLXIk91I3FfJKBAg.E3knLlGgZOrWuvXHlPJ0PZGj972Mb04L2A48SrVNNUkg.JPEG.samcheokcityhall%2FKakaoTalk_20191213_102856424_25.jpg&type=sc960_832
정라항 그리go 작은미술관 5223|29|149|113|411|795|697|943|39|55|177|106|408|396|340|4658|145|332|744|845|916|1638|1023|35|140|661|310|586|933|982|9290|47|강원도 삼척시 정라항안길 52-23|강원도|https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxOTEyMTlfMTA5%2FMDAxNTc2NzYxOTcyMDM2.hcygzq1K7gTEniLzuEDNV8AOsqmOTLK1-U_ERMn-fsAg.E2egh1nPXorTCU8593IAbVm2Bd6xuCh6zH0Ti6-j7NEg.JPEG.samcheokcityhall%2FKakaoTalk_20191213_102856424_26.jpg&type=sc960_832
정라항 그리go 작은미술관 5219|40|129|148|360|736|1130|813|47|62|138|113|464|421|280|4881|132|318|667|769|998|1329|759|29|130|792|378|507|897|980|8685|54|강원도 삼척시 정라항안길 52-19|강원도|https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxOTEyMTlfMjQx%2FMDAxNTc2NzYxOTQ3MDM1.brXWdoEI3AByM9F791NisahoOycu36Zk2Z6J9_ZlDG0g.eS1YXThTdZVh9J0FrVVa-nn1j3KozmN84L1AqjL9tFog.JPEG.samcheokcityhall%2FKakaoTalk_20191213_102927064.jpg&type=sc960_832
정라항 그리go 작은미술관 1116|17|36|416|450|1248|1089|724|36|45|74|222|241|653|543|5794|20|49|161|381|605|793|612|57|200|245|165|268|196|636|4388|40|강원도 삼척시 나리골3길 11-16|강원도|https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxOTEyMTlfMjgz%2FMDAxNTc2NzYxOTQzNzcz.rOhQtlgBqxr_rDhQxG2ZqpHc95Rm1jtoByxFSNbQVvYg.bijQECFQJiVPDYHgbylXZfdS4Yo0skFGpJawcqUBlpog.JPEG.samcheokcityhall%2FKakaoTalk_20191213_102927064_07.jpg&type=sc960_832
봉평콧등작은미술관|46|52|46|44|153|180|195|25|56|37|31|101|98|56|1120|50|29|89|60|61|126|103|32|23|45|33|52|123|86|912|37|강원도 평창군 봉평면 덕거길 7-1 봉평콧등작은미술관|강원도|https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMDA5MjdfMjIz%2FMDAxNjAxMTk4Njc4Mjg1.Va_ZJeXzmy1SjD6M6RmH_FkGi9xek-Zp_Ea7hA0czwgg.VbVmxEzhvSfTIa5YlDVg7OMrTOCfXk7agVbhz2PxEEcg.JPEG.ptp3918%2FIMG_8940.jpg&type=sc960_832
