no,rgs_de,area_lc,ty,genre_cl,ticket_se,dscnt_rt,pblprfr_nm,adhrnc_nm,prfplc_pd,prfplc_nm,viewng_grad_dc
7770,2019-02-28,경기,공연,아동극,무료티켓,100%,[경기]2019 어린이율동놀이뮤지컬<호비쇼> - 수원(객석나눔),(주)화랑엔터테인먼트,2019-03-30~2019-03-31,수원 장안구민회관 한누리아트홀,전체관람가
7771,2019-02-28,경기,공연,아동극,할인티켓,50%,[경기]2019 어린이율동놀이뮤지컬<호비쇼> - 수원,(주)화랑엔터테인먼트,2019-03-30~2019-03-31,수원 장안구민회관 한누리아트홀,전체관람가
7772,2019-02-28,서울,공연,클래식,할인티켓,50%,[서울]서울모테트합창단 창단 30주년 기념 마스터피스 시리즈 Ⅲ - 바흐 모테트 전곡 연주,재단법인 서울모테트음악재단,2019-03-26~2019-03-26,예술의전당 콘서트홀,8세 이상 관람가
7773,2019-02-28,부산,공연,아동극,할인티켓,50%,[부산]더 뮤지컬 <런닝맨> - 마지막 승자,(주)화랑엔터테인먼트,2019-03-30~2019-03-31,부산시민회관 대극장,24개월 이상 관람가
7774,2019-03-04,서울,공연,연극,무료티켓,100%,[서울]2019 SF연극제<마이 리턴 웨딩>(객석나눔),(주)문화공감공존,2019-03-06~2019-03-10,소극장 혜화당,13세 이상 관람가
7775,2019-03-04,서울,공연,연극,무료티켓,100%,[서울]2019 SF연극제<벙커맨>(객석나눔),(주)문화공감공존,2019-03-20~2019-03-24,소극장 혜화당,13세 이상 관람가
7776,2019-03-05,서울,공연,연극,할인티켓,85%,"[서울]체홉, 여자를 읽다.",(주)씨어터오,2019-03-12~2019-03-29,예그린씨어터,만 15세 이상 관람가
7777,2019-03-07,서울,공연,국악,무료티켓,100%,[서울]완창판소리<방수미의 춘향가 - 김세종제>(객석나눔),국립중앙극장,2019-03-30~2019-03-30,국립극장 하늘극장,8세 이상 관람가
7778,2019-03-07,부산,공연,클래식,무료티켓,100%,[부산]2019 신춘음악회(객석나눔),동래구문화시설사업소,2019-03-19~2019-03-19,동래문화회관 대극장,12세 이상 관람가
7779,2019-03-07,부산,공연,뮤지컬,할인티켓,85%,[부산]비보이를 사랑한 발레리나,주식회사 조은라인,2019-04-13~2019-04-13,KBS부산홀,36개월 이상 관람가
7780,2019-03-08,서울,공연,연극,무료티켓,100%,[서울]2019 SF연극제(E.M.C - Erase Memories Center)(객석나눔),(주)문화공감공존,2019-03-27~2019-03-31,소극장 혜화당,15세 이상 관람가
7781,2019-03-08,제주,공연,아동극,할인티켓,65%,[제주]가족뮤지컬<고고다이노 공룡탐험대>,문화디자인그룹,2019-04-06~2019-04-07,제주 설문대여성문화센터,24개월 이상 관람가
7782,2019-03-11,서울,공연,아동극,무료티켓,100%,[서울]어린이감성음악극<틀려도괜찮아>(객석나눔),콘텐츠79,2019-03-16~2019-06-02,윤당아트홀 2관,24개월 이상 관람가
7783,2019-03-11,서울,공연,연극,무료티켓,100%,[서울]연극배우 박정자의 드라마 콘서트<꿈속에선 다정하였네>(객석나눔),(재)구로문화재단,2019-03-21~2019-03-23,구로아트밸리 예술극장,8세 이상 관람가
7784,2019-03-11,서울,공연,국악,무료티켓,100%,[서울]2019 국립국악원 기획공연<목요풍류>(객석나눔),국립국악원,2019-04-04~2019-10-31,국립국악원 풍류사랑방,8세 이상 관람가 미취학아동입장불가
7785,2019-03-11,서울,공연,뮤지컬,할인티켓,75%,[서울]전래동화 음악교육극<해와 달이 된 오누이>,엔씨컴퍼니,2019-04-06~2019-05-03,한국방송회관 코바코홀,24개월 이상 관람가
7786,2019-03-11,서울,공연,아동극,할인티켓,65%,[서울]어린이감성음악극<틀려도괜찮아>,콘텐츠79,2019-03-16~2019-06-02,윤당아트홀 2관,24개월 이상 관람가
7787,2019-03-12,경기,공연,아동극,무료티켓,100%,[경기]어린이감성사운드극<리틀뮤지션> - 과천(객석나눔),과천도시공사,2019-03-23~2019-03-23,과천시민회관 소극장,36개월 이상 관람가
7788,2019-03-13,서울,공연,연극,무료티켓,100%,[서울]2019 SF연극제<뮤지컬 리히터 (REHEATER)>(객석나눔) ,(주)문화공감공존,2019-04-03~2019-04-07,소극장 혜화당,15세 이상 관람가
7789,2019-03-14,서울,공연,아동극,할인티켓,50%,[서울]집 나가자 꿀꿀꿀,아름다운세상,2019-03-30~2019-06-29,북촌아트홀,24개월 이상 관람가
7790,2019-03-15,부산,공연,연극,무료티켓,100%,[부산]연희극<어느 골짜기에 관한 논쟁>(객석나눔),극단 새벽,2019-04-04~2019-04-06,효로민락소극장,15세 이상 관람가
7791,2019-03-15,서울,공연,전통,무료티켓,100%,[서울]2019<궁: 장녹수전>(객석나눔),(재)정동극장,2019-03-19~2019-12-19,서울 정동극장,48개월 이상 관람가
7792,2019-03-15,서울,공연,콘서트,무료티켓,100%,[서울]박경훈의 피아노 풍류(객석나눔),예술숲(Arts Foret),2019-03-29~2019-03-29,서울돈화문국악당,만 5세 이상 관람가
7793,2019-03-15,부산,공연,연극,할인티켓,50%,[부산]연희극<어느 골짜기에 관한 논쟁>,극단 새벽,2019-03-28~2019-06-01,효로민락소극장,15세 이상 관람가
7794,2019-03-18,서울,공연,클래식,무료티켓,100%,[서울]바이올리니스트 이성주의 보헤미안 스케치Ⅱ(객석나눔),(주)스테이지원,2019-04-19~2019-04-19,예술의전당 IBK챔버홀,8세 이상 관람가
7795,2019-03-18,부산,공연,아동극,무료티켓,100%,[부산]가족뮤지컬<백설공주 미미 - 숲속오두막>(객석나눔),(주)화랑엔터테인먼트,2019-04-20~2019-04-21,KBS부산홀,24개월 이상 관람가
7796,2019-03-18,서울,공연,클래식,무료티켓,100%,[서울]바이올리니스트 이성주의 보헤미안 스케치Ⅰ(객석나눔),(주)스테이지원,2019-04-18~2019-04-18,예술의전당 IBK챔버홀,8세 이상 관람가
7797,2019-03-18,서울,공연,클래식,할인티켓,50%,[서울]바이올리니스트 이성주의 보헤미안 스케치Ⅱ,(주)스테이지원,2019-04-19~2019-04-19,예술의전당 IBK챔버홀,8세 이상 관람가
7798,2019-03-18,서울,공연,클래식,할인티켓,50%,[서울]바이올리니스트 이성주의 보헤미안 스케치Ⅰ,(주)스테이지원,2019-04-18~2019-04-18,예술의전당 IBK챔버홀,8세 이상 관람가
7799,2019-03-18,부산,공연,아동극,할인티켓,55%,[부산]가족뮤지컬<백설공주 미미 - 숲속오두막>,(주)화랑엔터테인먼트,2019-04-20~2019-04-21,KBS부산홀,24개월 이상 관람가
7800,2019-03-19,서울,공연,클래식,무료티켓,100%,[서울]오아미 첼로 독주회(객석나눔),예인예술기획,2019-04-13~2019-04-13,영산아트홀,8세 이상 관람가
7801,2019-03-19,서울,공연,클래식,무료티켓,100%,[서울]박주영 첼로 독주회(객석나눔),예인예술기획,2019-04-01~2019-04-01,금호아트홀,8세 이상 관람가
7802,2019-03-19,서울,공연,클래식,무료티켓,100%,[서울]2019 코리안심포니오케스트라 실내악 시리즈(객석나눔),(재)코리안심포니오케스트라,2019-03-24~2019-03-24,예술의전당 IBK챔버홀,8세 이상 관람가 초등학생 이상 관람가
7803,2019-03-19,경기,공연,뮤지컬,할인티켓,70%,[경기]THE NEW 뮤지컬<생각나라 과자집 - 다시쓰는 헨젤과 그레텔>,주식회사 에이엠컬처(AM Culture),2019-04-20~2019-06-09,한국잡월드 나래울극장,24개월 이상 관람가
7804,2019-03-20,부산,공연,국악,무료티켓,100%,[부산]2019 국립부산국악원 기악단 연희부 정기공연<왔구나! 연희야>(객석나눔),국립부산국악원,2019-03-29~2019-03-30,국립부산국악원 연악당(대극장),8세 이상 관람가 미취학아동입장불가
7805,2019-03-20,서울,공연,국악,무료티켓,100%,[서울]국립국악원 창작악단 제97회 정기연주회<그날>(객석나눔),국립국악원,2019-04-12~2019-04-12,국립국악원 예악당,8세 이상 관람가 미취학아동입장불가
7806,2019-03-21,서울,공연,클래식,무료티켓,100%,[서울]국립합창단 제177회 정기연주회<모차르트 레퀴엠>(객석나눔),(재)국립합창단,2019-04-01~2019-04-01,롯데콘서트홀,8세 이상 관람가
7807,2019-03-21,서울,공연,아동극,무료티켓,100%,[서울]2019 어린이율동놀이뮤지컬<호비쇼> - 서대문(객석나눔),(주)화랑엔터테인먼트,2019-04-13~2019-04-14,서대문문화체육회관 대극장,전체관람가
7808,2019-03-21,대전,공연,아동극,무료티켓,100%,[대전]2019 어린이율동놀이뮤지컬<호비쇼> - 대전(객석나눔),(주)화랑엔터테인먼트,2019-04-20~2019-04-21,대전 평송청소년문화센터 대극장,전체관람가
