event_nm,tme_dc,event_bgn_de,event_end_de,auspc_instt_nm,opmt_place_nm,event_dc
제18회 한국소극장오페라축제,18회,2017-09-02,2017-09-24,(사)한국소극장오페라연합회,나루아트센터 대공연장,"1999년 출범한 후 18회를 맞이한 한국 소극장오페라축제는 모차르트의 <피가로의 결혼>, 롯시니의 <세빌리아의 이발사>, 도니제티의 <돈 파스콸레>를 무대에 올렸다."
제13회 부산국제합창제,13회,2017-09-06,2017-09-09,(재)한국합창조직위원회,"영화의전당, 소향씨어터","부산을 세계 합창음악의 중심지로 육성하고자 하는 ‘제13회 부산국제합창제’가 오는 6일부터 9일까지 4일간 영화의전당, 소향씨어터 등지에서 화려하게 개최된다. 올해로 13회째를 맞는 부산국제합창제엔 세계 7개국 47개 팀 1600여 명의 합창단원이 참가해 하나 되는 세계인의 합창축제를 만들고 클래식-혼성·동성, 민속음악, 팝&가스펠, 청소년 부문의 5개 종목을 겨루게 된다."
2017 미래의명곡,4회 ,2017-09-06,2017-09-30,(재)세종문화회관 서울돈화문국악당,"서울돈화문국악당
","우리 음악의 현주소와 미래를 동시에 만나볼 수 있는 공연. 4주간 창작 국악의 방향을 제시해온 예술가 4팀을 집중 조명해, 미래에 전할 오늘의 명곡을 선보인다. 9월 둘째 주부터 차례로 ‘장단DNA&원일, 공명, 김효영, 박경소’의 무대가 펼쳐진다."
제28회 김해예술제 ,28회,2017-09-07,2017-09-09,(사)한국예총 김해지회,김해문화의전당,"예술제는 7일 국악협회의 개막공연 '비류'를 시작으로 8일에는 음악협회의 '아름다운 김해로 열린음악회'와 연극협회 '안녕 엄마', 9일 연예예술인 총연합회 '김해가요제'가 공연됐다. 열린음악회는 가야심포니 오케스트라와 김해지역 아동센터합창단, 구봉초 어린이합창단, 보현합창단, 라온예술단 등이 무대를 꾸몄다."
제18회 영호남연극제,18회,2017-09-07,2017-09-10,영호남연극제 조직위원회,"순천문화건강센터 다목적홀, 작은극장","2017년 영호남연극제는 공식 초청작 4작품, 찾아가는 공연으로 준비하고 있는 작은극장 초청작 8작품으로 구성돼 있다. 공식 초청작은 23일부터 27일까지 매일 오후 8시 현장아트홀에서 공연됐다. 올해에는 극단 어니언킹의 <봄이 오는 소리>, 극단 끝판의 <병자삼인>, 드라마 스튜디오의 <썽난 마고자>, 문화영토판의 <헤이, 부라더!> 등 지역을 대표하는 연극 작품들이 함께했다."
2017 수원재즈페스티벌,,2017-09-08,2017-09-09,수원시,광교호수공원야외무대,"2017 수원 재즈페스티벌이 8~9일 광교호수공원 야외무대에서 열렸다. 올해로 네 번째 열린 재즈페스티벌은 수원시가 주최하고, 수원문화재단과 뉴시스 경기남부취재본부가 주관했다. 국내 정상급 재즈 보컬리스트와 연주자, 해외 유명 아티스트들이 무대에 올라 이틀 동안 수원 가을밤을 재즈 선율로 수놓았다.
"
제1회 세종호수예술축제(SLAF),1회,2017-09-08,2017-09-09,세종특별자치시,세종호수공원 일대,"이번 축제는 '꿈의 호수, 예술로 어우러지다'라는 주제로 '청년'과 '시민'이 중심이 되어 국내 거리예술축제에서 주목을 받은 청년 예술가들의 음악, 국악, 무용, 비보이 등의 작품과 다양한 장르와 새로운 도전을 소개하는 자유참가작 등 16개의 프로그램을 마련했다. 9월 8일에는 전통과 현대국악을 절묘하게 엮은 '악단광칠'과 파이어 퍼포먼스 그룹인 '만시간 크루'가 무대를 꾸몄고, 9월 9일에는 거리퍼레이드와 사물놀이·비보이가 결합된 퍼포먼스 예술단 '호연'의 공연이 펼쳐졌으며, 이어 무용을 기본으로 다양한 장르의 예술을 녹여낸 '포텐아트컴퍼니'가 창작무용극을 선보였다."
제14회 함안예술제,14회 ,2017-09-08,2017-09-15,"주최: (사)함안예총 함안지회
주관: 국악·문인·미술·연극·연예·음악협회","함안문화예술회관,야외공연장,함안체육관","사단법인 한국예총 함안지회(회장 이강섭) 주최, 함안군(군수 차정섭) 후원으로 경남 함안 문화예술의 향연인 ‘제13회 함안예술제’가 22일부터 30일까지 9일간 함안문화예술회관을 비롯해 야외공연장, 함안체육관, 함안박물관 일원에서 다채롭게 펼쳐졌다. 함안예술제는 전시행사와 문화·공연행사로 나뉘어 열렸으며, 문학과 미술, 음악과 무용을 아우르며 지역예술단체 회원들이 그동안 갈고 닦은 문화예술의 정수를 선보였다."
대구국제무용제,19회,2017-09-09,2017-09-11,"주최,주관: 대구무용협회 ","대구문화예술회관 팔공홀,야외무대","18회 대구국제무용제는 독일, 싱가포르, 일본, 대만, 부르키나파소의 무용단과 국내의 무용단의 무대와 국제청소년댄스페스티벌이 진행됐다."
범음악제(PanMusicFestival)2017,45회,2017-09-09,2017-09-23,"motive music,ACI 주관 / Pan Musical Pestival,범음악제운영위원회,ACC 주최","대구 수성아트피아,제주 제주대학교 콘서트홀,서울 일신홀,광주 ACC아시아문화전당 Theater1","이번 음악제는 국내 여러 지역에서 진행됐으며, 국내외 최고의 연주단체가 함께하여 어린이 작곡가부터 국내외를 대표하는 작곡가들의 창작 음악을 선보였다."
2017 제5회 구미국제음악제,5회,2017-09-10,2017-09-15,구미시,"구미문화예술회관,강동문화복지회관 외 구미시 일원","순수클래식 시민축제 2017 제5회 구미국제음악제가 역대 최고로 흥행하는 국제음악제가 될 것으로 기대를 모으고 있다. 이번 국제음악제는 10일 오후 7시, 금오산 잔디광장에서 무료 전야공연이 펼쳐졌으며, 이어 11일 오후 7시 30분 구미문화예술회관 대공연장에서 우리나라 차세대 지휘계를 이끌 라이징 스타 ‘최수열’이 객원 지휘하는 KBS 교향악단과 세계 최정상 피아니스트 알렉산더 코브린(Alexander Kobrin)의 협연 무대로 꾸며진 화려한 개막공연을 선보였다."
대구국제재즈축제 2017,10회,2017-09-11,2017-09-16,대구국제재즈축제 조직위원회,"수성못 특설무대,수성아트피아 용지홀,동성로 야외무대,김광석길 콘서트홀","축제는 일반 시민들이 함께할 수 있는 수성못 메인스테이지, 재즈 마니아들이 심취할 수 있는 마니아 스테이지(수성아트피아), 그리고 도심의 프린지 스테이지로 나눠 진행됐다. 수성못 상단공원에 마련된 특설무대에서는 3일 동안 공연이 펼쳐졌다. 14일에는 개막식(오후 7시)에 이어 일본 오사카에서 활동하고 있는 칼메라밴드, 대구의 대표적 재즈오케스트라인 애플재즈오케스트라 무대가 펼쳐졌다. 애플재즈오케스트라 무대는 재즈보컬 김효정과 대구 출신 최고의 발라드 보컬 양파가 함께했다. "
제36회 대구음악제,36회,2017-09-11,2017-11-15,"주최,주관: 대구음악협회","대구콘서트하우스,대구아트홀,공간울림","메인 공연이 희망(Hope), 상상(Imagination), 운명(Destiny), 일상(Daily life)이라는 키워드로 12일(화)부터 4일간 오후 7시 30분에 열렸다. 기악'작곡'성악 등 음악 전공 분야와 생활음악을 연결했으며, 대구음악계의 가능성과 미래, 환상의 하모니로 오페라의 감동과 생활음악의 다양성을 모두 담아냈다."
2017 장애인문화예술축제,,2017-09-12,2017-09-14,"(사)한국장애인문화예술단체총연합회, 영월동강합창단",영월문화예술회관,"이번 축제에는 도내 장애인 예술단체 10팀이 참가해 합창, 밴드, 국악, 오케스트라, 댄스, 수화 등 다채로운 공연을 선보였다."
현대자동차그룹과함께하는2017 지역아동극축제,,2017-09-28,2017-11-16,"주체,주관: (사)국제아동청소년연극협회 한국본부(아시테지 한국본부)","인천하정초등학교 한빛터강당,연신초등학교 느티나무강당,아미초등학교 체육관,와동초등학교 강당,완주문예회관 대극장,군포문화예술회관 철쭉홀,청양문화예술회관 대극장,화천문화예술회관 대극장",문화소외지역 어린이들에게 아동극 선사하였다.
2017 천안흥타령축제,,2017-09-13,2017-09-17,천안시,천안삼거리공원,"흥겨운 춤'을 주제로 한 올해 행사에는 프린지 공연·쇼케이스·능소전·호수극장·청소년 어울마당·실버짱 콘테스트 등 비경연 부문에 2217명과 전국춤경연대회·거리댄스퍼레이드·국제춤대회·전국대학치어리딩대회 등 경연부문에 3850여명의 춤꾼이 참여했다. 축제기간에는 전국춤경연대회를 비롯해 국제춤대회, 전국대학치어리딩대회, 솔로앤 듀엣 컴피티션, 막춤대첩 등이 천안삼거리공원에서 본선과 결선 등이 진행됐다. 흥타령춤축제의 하이라이트인 전국춤경연대회에는 학생부 40개팀, 일반부 34개팀, 흥타령부 20개팀, 실버부 36개팀 등 모두 130개 팀이 참가했다. 9월 15일에는 천안 방죽안오거리에서 터미널사거리 구간까지 국악관현악단, 군악대, 의장대를 포함한 국내외 37개 팀이 출연해 거리퍼레이드를 펼쳤다. 첫날 개막식을 시작으로 축하음악회, 불꽃축제 등은 충남과 세종권에 생방송으로 중계되고, 실시간 스트리밍 서비스를 통해 생생한 축제영상을 선보였다."
대한민국국제관악제 2017,8회,2017-09-14,2017-09-17,대한민국 국제관악제,"광화문광장, 청계광장, 고양아람누리, 죽전야외음악당","초청공연, 개막식과 축하공연, 거리퍼레이드, 폐막식과 축하공연 등 5일에 걸쳐 진행됐다."
전국무용제,26회,2017-09-14,2017-09-23,"주최: 울산광역시,한국문화예술위원회,(사)한국무용협회
/주관: (사)한국무용협회 울산광역시지회",울산문화예술회관,"'행복 대전, 춤에 물들다'를 슬로건으로 열린 이번 무용제는 개막공연, 명인명무전, 춤추는 동화, 댄스아카데미 등 다양한 공연과 참여무대 등 총 37개의 무용 관련 행사가 진행됐다."
2017 대구관악축제,,2017-09-15,2017-09-16,대구관악축제 조직위원회,대구문화예술회관 팔공홀,"축제 첫날인 15일에는 2001년 결성된 퍼포먼스 관악 앙상블로, 그간 많은 이들의 사랑을 받아온 '퍼니밴드'의 공연이 펼쳐졌다. 둘째 날인 16일에는 새로운 레퍼토리를 선보이는 '퍼니밴드'의 연주와 더불어 2006년 창단되어 꾸준한 활동을 이어오고 있는 '대구 청소년관악합주단'의 공연이 함께했다. '대구심포닉밴드'의 공연도 펼쳐졌다. 김헌일의 지휘 아래, 주페의 '경기별 서곡' 등 다양한 레퍼토리들을 선보였다."
화엄음악제 2017,12회,2017-09-15,2017-09-17,"주최: 대한불교 조계종 화엄사
주관: 화엄음악제집행위원회",전라남도 구례군 화엄사,"‘'2017 화엄음악제’의 전야제로 9월15일 오후 7시30분 일렉트로닉 음악 듀오 텐거와 이양희씨 공연했고, 메인행사라고 할 수 있는 9월16일 오후 7시 화엄콘서트에서는 화엄오케스트라, 어쎔콰이어, 에릭 보스그라프, 이재화, 신현필, 박은하, 화엄레지던스, 텐거, 조계종 어산 어장 인묵 스님, 정마리 등이 대거 출연했다."
임방울국악제 2017,25회,2017-09-15,2017-09-18,"주최: 광주광역시, 조선일보사, SBS
주관: 사)임방울국악진흥회, 국립아시아문화전당, KBC 광주방송","국립아시아문화전당 예술극장,광주향교(유림회관2층),빛고을시민문화관 대공연장,빛고을시민화화관 소공연장,5·18기념문화센터(민주홀,대동홀),광주문화예술회관(소공연장),5·18민주광장,시민회관(공연장)","일제 강점기와 해방 직후 민중들에게 생기와 희망을 심어준 진정한 가객 임방울 선생의 찬란한 예술혼을 기리고, 대한민국 국악의 미래 소리꾼을 찾는 축제로 4일간 국악경연, 임방울 판소리 장기자랑, 전야제가 진행됐다."
제12회 논산예술제,12회,2017-09-15,2017-09-18,(사)한국예술문화단체총연합회 논산지회(지회장 윤주민),"논산시민공원특설무대,논산문화원","이번 행사는 논산예술인 화합한마당, 시화·미술·사진 연합 전시회 등 다양한 프로그램으로 진행됐다. 개막식은 16일 오후 3시 30분 논산시민공원에서 무용, 판굿, 그림퍼포먼스 등 식전공연과 함께 논산예술인 축하공연이 펼쳐졌으며, 오후 7시에는 논산시민가요제가 열렸다. 17일에는 오전 10시 논산시민공원에서 논산시민을 위한 국악대공연이, 오후 1시부터는 논산시 읍·면·동 풍물경연대회가 열렸다."
22주년인천국제클라운마임축제,,2017-09-15,2017-09-22,"클라운마임협의회,극단마임·작은극장돌체","작은극장 돌체,인천무형문화재전수관 도호부청사,송도 솔찬공원 케이슨선착장,미디어축제연계,인천 축구전용경기장,영종도 씨사이드파크","이번 축제의 메인행사인 ‘뿌리를 찾아서’는 작은극장 돌체에서 행사기간 동안 클라운 쇼, 저글링, 매직, 뮤직(살사리듬), 아크로바틱, 꽁트, 파이어 쇼, 유머와 드라마, 볼 댄스와 바운스, 짐볼과 클럽 등 관객과 함께 소통하고 즐기는 다양한 공연을 선보였다. 공연에는 스페인, 아르헨티나, 베네수엘라, 페루, 칠레, 독일, 벨기에, 그리스 등 해외 8개국과 국내팀 등 9개국 14개팀이 참여했다."
2017 서울국제공연예술제(SPAF),17회,2017-09-15,2017-10-15,"한국문화예술위원회,(재)예술경영지원센터","아르코예술극장, 대학로예술극장","벨기에, 슬로베니아, 영국, 캐나다, 폴란드, 한국 총 6개국 17단체의 17개 작품을 선보였으며, 워크숍, 예술가와의 대화, 포럼 등이 진행됐다."
제4회 서울국제생활예술오케스트라축제,4회,2017-09-16,2017-09-24,"세종문화회관,서울문화재단","세종문화회관 대극장/M씨어터/체임버홀,광화문광장",올해는 국내생활예술오케스트라 49팀과 세계 29개국 61명으로 구성된 서울국제생활예술오케스트라(SICO)까지 50팀이 참여했다. 국내 생활예술오케스트라 49팀은 축제의 기획프로그램인 '서촌마을오케스트라축제'를 통해 다양한 하모니를 들려주었다. 체부동 생활문화지원센터를 중심으로 서촌마을을 무대 삼아 공연을 펼쳤다.
제주우먼아트페스티벌,2회,2017-09-18,2017-10-02,제주문화기획연구소,"제주아트센터,제주문예회관,제주학생문화원","제주해녀문화의 유네스코 인류무형문화유산 등재를 기념해 해녀를 문화예술로 표현하는 페스티벌이 열렸다. ‘해녀, 예술을 품다’라는 주제로 해녀를 문화예술로 표현해 역사적으로 기록할 수 있는 기회를 마련하고자 준비됐다. 이번 행사는 여성합창제, 여성무용, 여성문학, 여성전시, 창작음악극 ‘해녀의 길’ 등 5가지 프로그램을 통해 여성의 삶과 아름다움을 문화예술로 표현했다."
2017 원주다이내믹댄싱카니발,,2017-09-19,2017-09-24,"주최: 원주시, 제36사단
/주관: (재)원주문화재단","원주시 따뚜공연장, 원일로, 우산동, 태장동,문막일대","올해는 총 144개팀(1만1,000여명)이 참가하여 개막식, 폐막식, 댄싱카니발, 문화예술공연, 축제포럼, 프린지공연, 부대행사 등이 진행됐다."
제13회 광주평화연극제,13회,2017-09-19,2017-09-28,"광주광역시,(사)한국연극협회 광주광역시지회","빛고을 시민문화관,광주문화예술회관 소극장","'제13회 광주평화연극제'가 '품[P:UM] 품다, 풀다, 나누다'를 주제로 19~28일 빛고을시민문화관과 광주문예회관 소극장에서 펼쳐졌다. 광주연극협회가 주관한 이 행사는 지난 2005년 자유와 평화를 주제로 탄생한 후 지난해 국제행사로 승격되며 외연을 확장했다. 올해는 그리스, 러시아, 일본 등 3개국 해외초청공연을 비롯해 지역 극단이 참여하는 옴니버스 형태의 단막극과 국내 극단들이 참여하는 주제공연 등 모두 14개 극단이 무대에 올랐다."
진포예술제 군산예술날다,49회 ,2017-09-20,2017-09-30,군산예총,군산예술의전당 ,"제49회 진포예술제는 예술의전당 공연장과 전시실 등에서 다양한 공연과 작품 전시로 펼쳐질 예정으로, '군산 예술 날다’라는 주제로 9개 협회지부에서 준비했으며, 김명곤 전 문화관광부 장관 초청강연을 시작으로 11일 동안 진행된다.
‘군산 예술 놀다’ 라는 주제로 열리는 이번 예술제는 10월 9일까지 예총의 9개 협회지부에서 준비한 공연과 전시회로 군산예술의전당 공연장과 전시실, 야외광장 무대에서 펼쳐진다. "
한국민속예술축제,58회,2017-09-21,2017-09-24,"주최: 문화체육관광부,경남도,김해시
주관: 한국민속예술축제 추진위원회,전통공연예술진흥재단",김해(수릉원 일대),"한국민속예술축제는 1958년 제1회 행사가 열린 이래 올해로 58회째를 맞이했다. 한국민속예술축제는 전국에 흩어져 있는 민속예술을 발굴하고 보존하기 위해 출범한 국가 규모의 민속축제로서, 지금까지 이 축제를 통해 400여종이 넘는 민속 종목이 발굴된 바 있다. 제24회 전국청소년민속예술제는 21일(목)~22일(금) 14개 시·도 대표가, 제58회 한국민속예술축제는 23일(토)~24일(일) 이북 5도를 포함한 20개시·도 대표가 각 지역을 대표하여 경연을 펼친다. "
영동난계국악축제,50회,2017-09-21,2017-09-24,"주최: 영동군,영동군축제추진위원회
(재)영동축제관광재단,(사)난계기념사업회",영동천 하상주차장,"국악의 고장인 충북 영동군에서 '난계 박연, 세종대왕을 만나다'라는 주제로 열렸다."
제21회 보령예술제,21회,2017-09-21,2017-09-24,한국예총 보령지회,보령문화의전당 일원,"이번 예술제는 국악, 미술, 사진, 무용, 가요제, 연극 등 다양한 장르를 망라하는 종합 예술행사로 나흘간 13개 분야 16개 행사가 진행됐다. 첫날인 21일에는 △보령시민을 위한 국악 공연 △제26회 한국미협보령지부 회원전 △제6회 풍경사진전 △제21회 보령예술제 개막식 및 보령시민가요제가 열렸다. 22일에는 △제26회 한국사협보령지부 회원전 △전통춤 ‘바다 춤으로 물들다’ △생활문화동호회 페스티벌이 이어졌다. 23일에는 △제15회 청소년 미술실기대회 △국악체험한마당 △만세보령백일장 대회 △시와 석공예의 만남전 △생활문화동호회 페스티벌 △청소년 그린문화제 등 다양한 프로그램이 진행됐다. 마지막 날인 24일에는 ‘이장님댁 봉숙이’ 연극 공연과 생활문화동호회 페스티벌이 대미를 장식했다. 특히 이번 예술제 기간 중 22~24일 진행되는 생활문화동호회 페스티벌에는 읍·면·동과 시단위 동호회 32팀이 참가, 통기타, 난타, 풍물, 색소폰, 하모니카, 우쿨렐레, 댄스 등 1년간 갈고 닦은 실력을 선보였다."
2017 부평풍물대축제,,2017-09-22,2017-09-24,인천광역시 부평구,부평대로 부평일대,올해로 21회를 맞은 부평풍물대축제가 23∼24일 인천시 부평구 부평대로와 부평미군기지(캠프마켓) 일대에서 열렸다. 22일 부평 신트리 공원에서 부평풍물고유제와 부평구 22개 동 풍물단이 기량을 겨루는 풍물 경연대회가 펼쳐졌다.
제2회 M-PAT,2회,2017-09-22,2017-11-24,"마포구,마포문화재단",마포구 전역,‘M-PAT 클래식음악축제’가 서울시 마포구 전역에서 60일간 펼쳐졌다.
학산마당극놀래 2017,5회,2017-09-23,2017-09-23,남구학산문화원,"수봉공원 인공폭포, 수봉공원 야외무대","올해는 14개 동의 마당예술동아리가 ‘또 다른 시작’ 이라는 큰 주제로 총 14편(각 편10분 이내)을 선보였다. 실버극단, 학산춤패, 어린이탈춤 동아리의 축하공연과 시각장애인 마당예술동아리의 특별공연도 함께했다. 주민공연 출연자는 190여명에 이른다. 공연 참여자들은 일반 주민들을 포함하여 아파트 마을공동체, 통장자율회, 새마을부녀회, 야간자율방법대 등 다양한 계층이 어르신부터 아이들까지 세대별로 골고루 분포되어 있다."
2017 춘천국제고음악제,20회,2017-09-23,2017-09-29,"주최: 춘천시,(사)춘천국제 고음악제, 국립춘천박물관
주관: (사)춘천국제 고음악제","KBS춘천방송총국공개홀, 국립춘천박물관, 축제극장몸짓, 죽림동주교좌성당","음악제 20주년을 맞아 고음악과 춤이 어우러진 독특한 방식으로 진행돼 관객의 관심을 끌었다. 음악제는 25~27일 오후 7시 30분 국립춘천박물관에서 공연되었고, 29일 오후 7시 죽림동 주교좌성당 폐막공연을 끝으로 막을 내렸다. 특히, 이대범 국제고음악제 이사장과 앙상블이 28일 오후 7시30분 국립춘천박물관에서 ‘영화 속 바로크 음악’을 주제로 영화 ‘양들의 침묵’ ‘엽기적인 그녀’ 등에 삽입된 수록곡을 해설과 함께 연주해 귀추를 주목시켰다."
2017 JEJU전국장애인연극제,6회,2017-09-25,2017-09-28,제주장애인문화예술센터,문예회관 소극장,"연극제는 극단 서툰사람들(제주)의 창작뮤지컬 ‘딜레마’, 산돌학교 발달장애인예술단(군산)의 ‘아기바위 개바위’, 장애인문화예술 판(서울)의 ‘역전만루홈런’, 극단 캐스팅(서귀포)의 ‘토닥 토닥’, 장애인문화예술극회 휠(서울)의 ‘하늬바람’ 공연으로 진행됐다."
난파음악제,49회,2017-09-28,2017-09-28,"주최,주관: 경기도음악협회",경기도문화의전당 대극장,행사 양일간 수원에 있는 경기도 문화의전당에서 10개 팀이 출연하였다.
2017 고양호수예술축제(GYLAF),9회,2017-09-28,2017-10-01,"주최: 고양시
/주관: 고양문화재단","고양호수공원,라페스타,웨스턴돔,일산문화고원 및 주요거리",이번 행사는 ‘시민과 함께하는 거리축제’를 주제로 시민들이 중심이 돼 직접 참여할 수 있는 콘텐츠와 공감을 이끌어 낼 수 있는 거리공연예술들이 준비됐다. 축제는 60개 예술팀과 350여 명의 예술가들이 120여회에 걸쳐 공연을 진행한다.
제11회 우리춤대축제,11회,2017-09-29,2017-09-30,"주최,주관: 우리춤협회",국립극장 KB하늘,"우리춤 대축제는 무용계를 하나로 아우르고, 누구나 경계 없이 화합할 수 있는 친목과 단합의 축제로써 다채로운 춤의 빛깔이 꽃피는 꿈의 축제로 거듭났다."
정선아리랑제,42회,2017-09-29,2017-10-02,"강원도,정선군,(사)정선아리랑제위원회",정선읍 아라리공원 일원,"올해는 '정선아리랑 대합창극 아리랑무극'으로 막을 올려 '아리랑-빛을 발하다'로 막을 내렸다. 칠현제례, 춤추는 멍석아라리, 전산옥 주막 한마당, 뗏목시연, 노래자랑대회 등 전통행사가 열렸다. 문화재 교류, 유네스코 인류유형문화유산, 우호 교류 도시 전통민요 등 다채로운 공연행사도 준비됐다."
제63회 백제문화제,63회,2017-09-29,2017-10-05,(재)백제문화제추친위원회,"공주,부여 일원","개막식 주제공연은 △제1막 문화강국 대백제를 기억하라 △제2막 만백성을 풍요롭게 하라 : 백제의 수호여신 △제3막 대백제, 고대 문화교류에 앞장서다 △제4막 고대의 백제류, 현대의 한류와 만나다 △제5막 피날레 등이 영상그래픽과 퍼포먼스를 결합한 뮤지컬 공연 형태로 20분간 진행됐다. 1막 2017 한류코리아, 2막 문화교류의 한류, 3막 한류원조 백제를 만나다 등 3개의 테마별로 진행된 불꽃은 세계유산 공산성 형태로 디자인한 멀티미디어 시스템의 레이저, 특수조명, 영상, 음향 등과 어우러져 감동의 대서사시를 연출했다."
2017 달성100대피아노,6회 ,2017-09-30,2017-10-01,"달성군,달성문화재단",대구 화원동산 사문진나루터,"화원동산 사문진 나루터에서 개최되는 '달성 100대 피아노'는 올해로 6회째를 맞았다. 한국문화예술위원회 2년 연속 '지역대표공연예술제'로 선정된 '달성 100대 피아노'는 지난해부터 이탈리아 PIANO CITY MILANO 축제와의 MOU를 체결하고 올 봄 2017 PIANO CITY MILANO 축제에 지난 5년간 100인 피아니스트 공연의 연출을 맡아온 풍류아티스트 임동창이 초청받은 한편, PIANO CITY MILANO의 피아니스트 알베르토 피쪼가 '2017 달성 100대 피아노' 축제에서 연주를 선보인다."
서울거리예술축제 2017,18회,2017-10-05,2017-10-08,"서울특별시, 서울문화재단","서울광장, 청계광장, 광화문광장, 서울역광장, 세종대로, 청계천로, 덕수궁돌담길, 무교로, 서울로7017, 문화비축기지, 무교재생공간","서울거리예술축제는 유럽 거리극 축제에서 진행된 거리극부터 첫 선을 보이는 해외 공동제작작품, 자유참가작 해외팀을 포함한 해외초청작 20개 작품, 이동형 거리극과 이색 장르 공연, 다시 보고 싶은 거리예술 공연까지 5일동안 50여 작품의 거리예술공연을 선보였다."
2017 무등울림,,2017-10-07,2017-10-29,"광주광역시,광주문화재단",광주 전통문화관,"'2017무등울림'이 7일 개막해 29일까지 한달간 펼쳐졌다. 광주문화재단 전통문화관은 '2017무등울림' 행사로 28~29일 특정생일을 기념하는 잔치인 신부넷의 '수연례', 전통실내악단 율의 '무속음악', (사)국악협회 광주지회의 전국국악대제전 축하공연 등을 선보였다."
제26회 소극장연극축제,26회,2017-10-08,2017-10-28,한국연극협회제주특별자치도지회,"한라아트홀 소극장,미예랑소극장,세이레아트센터","이번 소극장연극축제에서는 10월 한 달 동안 도내 여러 소극장에서 5개 팀이 돌아가며 공연을 펼쳤다. 극단가람은 10월 8∼9일 한라아트홀 다목적실에서 '낮술'을, 퍼포먼스단 몸짓은 14∼15일 미예랑소극장에서 '그게, 뭐라고'를 공연했다. 10월의 마지막 주말인 27∼28일에는 세이레아트센터에서 극단세이레극장의 '하녀들'이 공연됐다. 올해부터는 타지역 극단의 연극도 함께했다. 전북 초청팀인 문화영토 판은 21일 세이레아트센터에서 '헤이, 브라더!'를, 경남 초청팀 극단이루마는 25∼26일 세이레아트센터에서 '황소, 지붕 위로 올리기'를 공연했다. 제주도와 한국문화예술위원회, 제주문화예술재단의 후원으로 이뤄진 이번 축제의 모든 공연은 무료로 진행됐다."
2017 서울세계무용축제,20회,2017-10-09,2017-10-29,"주최: 국제무용협회(CID-UNESCO)한국본부
주관: 제20회 서울세계무용축제 조직위원회","예술의전당 자유소극장, 서강대메리홀 대극장,아르코예술극장 대극장, CKL스테이지, 디큐브시티프라자광장","국제합작 (3개 프로그램, 5개국 7개 단체), 외국단체(13개 프로그램, 14개국 22개 단체), 국내단체(5개 프로그램, 15개 단체), 부대행사로 진행됐다."
제7회 서울미래연극제,7회,2017-10-11,2017-10-15,"서울연극협회,강동아트센터",드림아트센터 4관,"연극의 메카 대학로에서 9월 28일(목)부터 10월 22일(일)까지 다양한 연극을 볼 수 있는 2017 ST-BOMB(서울연극폭탄)과 제7회 서울미래연극제(ST-Future)가 동시에 개최됐다. 이번에 2회를 맞이하는 '2017 ST-BOMB'은 동유럽 작품을 집중 조명하여, 국내 작품 소개와 해외 우수 작품을 초청해 다양한 연극을 보여줬다. '서울 미래 연극제' 에서는 장르에 관계없이 다양한 작품을 선보였다."
2017 수성아트피아연극축제,,2017-10-11,2017-10-20,"한국문화예술위원회,수성아트피아",수성아트피아 무학홀·용지홀,"‘2017 문예회관과 함께하는 방방곡곡 문화공감사업’의 지원으로 열린 이번 연극축제에는 우리나라를 대표하는 극단 목화와 대구를 대표하는 극단 한울림, 극단 구리거울이 참가했다."
대구아시아무용축제,,2017-10-11,2017-10-22,"대구문화예술회관,대구시립예술단",대구문화예술회관 팔공홀,"일본, 홍콩 등 해외팀과 서울·대구 대표무용팀, 대구시립무용단, 대구시립국악단 한국무용팀이 참여한 이번 축제는 현대무용과 전통무용, 발레 등 무용장르를 총 망라한 무대를 보여줬다. 10월 11일 개막공연인 홍콩시 현대무용단(CCDC)의 ‘Admist the Wind’를 시작으로, 13일부터 3일 간은 대구·서울 대표 무용단체 12개팀의 작품이 공연됐다."
제3회 극페스티벌채움,,2017-10-11,2017-11-05,"학단 소극장 산울림,극페스티벌채움",산울림 소극장,독일 극작가 베르톨트 브레히트의 작품을 각 극단이 각색하여 1주에 1~2팀씩 공연했다.
제2회 단단페스티벌,2회,2017-10-11,2017-11-12,소극장 혜화당,소극장 혜화당,
시민뜨락축제,,2017-10-11,2017-12-15,(재)부산문화회관 시민회관본부,부산시민회관 광장,"12일부터 14일까지 낮 12시 2~3팀씩 각각 출연(12일은 우천으로 취소) , 부산시민회관 야외광장에서 시민들과의 소통의 무대를 펼쳤다. 출연 단체는 클래식과 재즈, 버스킹에서부터 발레와 마임, 소년소녀합창단에 이르기까지 다채로웠다. 축제 기간 내내 야외무대 옆에서는 아트페어가 열려 분위기를 한껏 돋웠다. "
담양해동한마당,,2017-10-21,2017-10-21,"담양군,담양군문화재단",구 해동주조장,"추억의 7080'을 주제로 색소폰 연주, 통기타 라이브공연, 퓨전국악, 마술쇼, 어린이들을 위한 파랑새 인형극 등의 다채로운 공연이 준비됐다. 또한, 대나무공예와 수채화 작품 전시, 방문객 체험프로그램과 지역민이 운영하는 추억의 주전부리 음식부스도 함께 마련되었다."
