event_nm,tme_dc,event_bgn_de,event_end_de,auspc_instt_nm,opmt_place_nm,event_dc
2018 창원국제실내악축제,,2018-03-31,2018-04-08,창원문화재단,"성산아트홀, 3.15아트센터, 진해문화센터",창원국제실내악축제의 2018년은 'Memories of Spring' 이란 주제로 준비되었다.
2018 교향악축제,30회,2018-03-31,2018-04-21,예술의전당,예술의전당 콘서트홀,"올해 축제에는 국내 대표 교향악단 17개와 아시아 최고 수준 오케스트라 중 하나로 손꼽히는 대만국가교향악단이 참여해 모두 18회의 공연을 열고, 피아니스트 백건우 씨도 협연자로 참여했다."
2018 고양예술인페스티벌,,2018-03-31,2018-05-25,고양문화재단,"고양아람누리 새래새극장, 아람음악당(하이든 홀)","4월 13일부터 14일까지 양일간 ‘어렵지 않고 재미있는 오페라’를 추구하는 공연단체 ‘다빈아트’가 '피가로의 결혼'을 선보였고, 4월 21일부터~22일에는 뮤직드라마팀 ‘스와뉴’가 준비한 음악 낭독극 '계절이야기'가 공연했다. 5월 11일에는 ‘아츠팜 들소리’가 강렬한 전통 북의 합주에 젬베, 핸드팬 등 이색적인 타악기가 어우러진 퍼포먼스를 선보였으며, 5월 19일은 국내 최초의 기타 4중주단 ‘서울기타콰르텟’의 '기타로 하는 이야기' 공연되었다. 5월 19일부터 20일에는 ‘극단 호수공원’이 중견배우 한인수 등 내공 있는 배우들의 연극 '막차 탄 동기동창'을 선보였으며, 2018 고양예술인페스티벌의 피날레는 5월 25일 '난감하네'로 유명한 ‘에스닉 팝 그룹 락’의 창작 판소리 '몽타주 : 더 듀엣'이 공연됐다."
제45회 경주예총예술제,45회,2018-04-03,2018-04-07,경주시,경주예술의전당,"3일 예술의전당 4층 대전시실에서 개막하는 예총예술제는 예총산하 문학, 미술, 사진, 음악, 연극, 국악, 무용, 연예예술 등 협회 회원들이 주축이 돼 크게 전시부문과 공연부문으로 나눠 진행됐다. 공연부문은 3일부터 7일까지 매일 예술의 전당 소공연장과 교촌 야외 공연장에서 진행됐다."
제36회 경상남도연극제,36회,2018-04-04,2018-04-15,(사)한국연극협회 경상남도지회,"진주 현장아트홀, 경남문예회관 대공연장, 경남과학기술대 아트홀","제36회 경상남도연극제가 ‘연극만찬(演劇晩餐)’을 주제로 4월 4일부터 15일까지 진주 현장아트홀, 경남문예회관 대공연장, 경남과학기술대 아트홀에서 열렸다. 연극제에는 도내 12개 지부 13개 극단이 참가해 경연을 벌렸다. 각 지부별 1개 극단이 참가하며 창원지부에서만 2개 극단이 참가했다."
제15회 청주예술제,15회,2018-04-06,2018-04-10,(사)청주예총 ,"청주아트홀, 청주문화관, 청주예술의 전당, 무심천 롤러스케이트장, 청주시 일원","예술경연행사로 '제19회 청주 청소년 한마음 축제'가 6일부터 8일까지 청주예술의전당과 무심천 롤러스케이트장, 청주아트홀에서 개최됐다."
제36회 부산연극제,36회,2018-04-12,2018-04-29,부산광역시,"부산문화회관 중극장, 부산시민회관 소극장, 부산예술회관",‘제36회 부산연극제’ 개최를 확정하고 극단 끼리프로젝트 변진호 대표를 예술감독으로 선임했다. 부산연극협회 소속 24개 극단 중 ‘이그라’ ‘누리에’ ‘연’ ‘이야기’ ‘세진’ ‘더블스테이지’ ‘시나위’ ‘자유바다’ ‘바다와 문화를 사랑하는 사람들’ 9개 극단이 참가했다.
2018 무용인 한마음축제,,2018-04-13,2018-04-14,(재) 전국무용수지원센터,아르코예술극장 대극장,총 12팀의 공연을 선보였다. 국립현대무용단은 안성수 예술감독의 신작 ‘스윙’을 본 공연에 앞서 한 주 먼저 무대에 올렸다. 국내외 무대를 넘나들며 활동 중인 김용걸 한국종합예술학교 교수가 이끄는 김용걸댄스시어터는 컨템포러리 발레 작품 ‘망각’을 준비했다.
2018 충북민족극한마당,,2018-04-13,2018-04-15,사단법인충북민예총,청주예술의전당 소공연장,"2018 충북민족극한마당'은 4월 13일 오후 7시 30분 극단 새벽의 '바다 한가운데서' 작품을 시작으로 4월 14일 오후 4시 극단 마중물의 '서울 촌놈 질들이기', 4월 15일 오후 4시 (사)예술공장 두레의 '꺽정, 벽초를 쓰다'를 무대에 올렸다."
제2회 전국도립국악관현악 축제,2회,2018-04-14,2018-04-14,경기도문화의전당,경기도국악당 흥겨운극장,경기도국악당 흥겨운극장에서 열리는 '2018 봄의 관현악'을 통해 전북도립국악단과 대표 레퍼토리를 들려줬다. 고전 소설 '콩쥐 팥쥐'와 '신데렐라'를 모티브로 한 놀이음악극도 선보였다.
